,bandwidth,pps,packetsize,cpu,modified_bandwidth
542,4.57,75725.0,1024,50,4570.0
543,4.87,74275.0,1024,50,4870.0
544,4.49,78570.0,1024,50,4490.0
545,3.89,75481.0,1024,50,3890.0
546,6.84,55114.0,1024,50,6840.0
547,5.96,65769.0,1024,50,5960.0
548,5.33,71154.0,1024,50,5330.0
549,5.92,56516.0,1024,50,5920.0
550,4.59,110838.0,1024,60,4590.0
551,5.61,87957.0,1024,60,5610.0
552,6.04,80288.0,1024,60,6040.0
553,7.22,56575.0,1024,60,7220.0
554,5.11,99654.0,1024,60,5110.0
555,4.56,111593.0,1024,60,4560.0
556,5.61,89169.0,1024,60,5610.0
557,5.2,96959.0,1024,60,5200.0
558,5.04,100050.0,1024,60,5040.0
559,5.19,96961.0,1024,60,5190.0
560,3.7,131518.0,1024,70,3700.0
561,4.9,104865.0,1024,70,4900.0
562,5.22,98008.0,1024,70,5220.0
563,3.7,133752.0,1024,70,3700.0
564,4.49,115733.0,1024,70,4490.0
565,5.56,91473.0,1024,70,5560.0
566,3.77,130906.0,1024,70,3770.0
567,4.11,124118.0,1024,70,4110.0
568,5.14,100641.0,1024,70,5140.0
569,4.59,112249.0,1024,70,4590.0
570,4.93,106372.0,1024,80,4930.0
571,4.72,111458.0,1024,80,4720.0
572,4.77,108086.0,1024,80,4770.0
573,4.25,117580.0,1024,80,4250.0
574,4.16,120979.0,1024,80,4160.0
575,4.25,120305.0,1024,80,4250.0
576,5.13,100898.0,1024,80,5130.0
577,4.8,107374.0,1024,80,4800.0
578,5.82,83460.0,1024,80,5820.0
579,5.3,96599.0,1024,80,5300.0
580,4.83,108585.0,1024,90,4830.0
581,4.39,117288.0,1024,90,4390.0
582,5.69,90149.0,1024,90,5690.0
583,4.33,119693.0,1024,90,4330.0
584,4.99,103926.0,1024,90,4990.0
585,4.98,105414.0,1024,90,4980.0
586,3.99,126588.0,1024,90,3990.0
587,5.89,84469.0,1024,90,5890.0
588,5.03,103012.0,1024,90,5030.0
589,4.93,105120.0,1024,90,4930.0
590,4.8,108045.0,1024,100,4800.0
591,4.66,111314.0,1024,100,4660.0
592,5.01,104076.0,1024,100,5010.0
593,5.92,83936.0,1024,100,5920.0
594,5.09,102354.0,1024,100,5090.0
595,5.22,101540.0,1024,100,5220.0
596,4.85,107245.0,1024,100,4850.0
597,4.72,108798.0,1024,100,4720.0
598,4.71,111809.0,1024,100,4710.0
599,4.81,108392.0,1024,100,4810.0
